supplier_id,supplier_name,country,category,annual_spend_usd,supplier_tenure_years,financial_score,debt_ratio,revenue_growth_pct,cash_flow_score,on_time_delivery_pct,average_delay_days,defect_rate_pct,quality_score,compliance_score,audit_score,certification_status,geopolitical_risk,single_source_dependency,previous_incidents
SUP-0083,Summit Manufacturing 83,USA,Packaging,371667,11.3,69.3,0.81,-3.9,76.0,84.5,8.2,3.5,70.7,39.5,28.8,Valid,49.9,39.8,4
SUP-0084,Prime Manufacturing 84,Mexico,Chemicals,3843610,4.6,64.0,0.64,19.9,31.0,69.6,1.6,1.63,75.6,97.8,83.2,Valid,63.4,68.9,4
SUP-0085,Vertex Manufacturing 85,China,Chemicals,6052252,16.8,66.0,0.71,1.3,24.7,71.8,2.5,6.76,22.1,63.2,48.8,Missing,20.4,84.6,0
SUP-0086,Vertex Systems 86,Brazil,Packaging,3545999,14.1,80.9,0.2,19.0,66.4,80.3,10.4,3.06,88.5,80.9,69.9,Valid,71.4,16.6,4
SUP-0087,Apex Components 87,China,Plastics,1481243,3.8,89.8,0.31,18.0,56.5,74.7,1.6,1.83,94.6,41.4,68.8,Missing,52.7,50.2,1
SUP-0088,Global Industries 88,Poland,Packaging,445562,15.0,17.3,0.18,6.4,61.1,87.1,11.6,3.66,69.8,58.8,68.9,Valid,61.4,32.2,1
SUP-0089,Orion Manufacturing 89,Brazil,Electronics,5876509,2.0,50.2,0.49,-10.2,63.5,75.6,10.9,6.29,87.1,96.1,30.2,Valid,51.2,14.6,1
SUP-0090,Delta Components 90,Mexico,Aerospace,2179694,3.4,19.0,0.81,14.8,48.5,97.7,13.6,6.95,92.8,76.2,34.8,Valid,49.9,51.3,3
SUP-0091,Vertex Systems 91,India,Electronics,3398754,9.6,92.3,0.3,-4.6,19.0,81.8,13.3,5.63,56.7,61.9,86.1,Expiring,20.7,28.8,2
SUP-0092,Orion Manufacturing 92,India,Aerospace,529141,10.7,30.6,0.54,-15.2,55.3,91.0,4.6,8.41,73.1,29.3,96.1,Expiring,39.9,93.8,4
SUP-0093,Summit Industries 93,Germany,Packaging,4370829,7.8,18.2,0.18,9.1,79.3,82.7,2.7,7.61,30.9,92.6,44.8,Expiring,89.2,71.5,2
SUP-0094,Summit Materials 94,Brazil,Chemicals,4822150,6.1,80.3,0.41,7.6,93.4,84.8,12.1,6.22,73.7,22.1,57.0,Missing,56.2,69.9,4
SUP-0095,Delta Industries 95,USA,Metals,6992594,12.6,17.5,0.81,-13.8,16.5,75.7,2.7,5.93,52.0,80.4,91.8,Valid,66.5,51.7,4
SUP-0096,Summit Systems 96,USA,Plastics,1552759,8.8,57.7,0.53,7.7,84.4,88.1,12.2,2.39,57.8,94.7,41.8,Valid,28.0,92.6,2
SUP-0097,Vertex Industries 97,Brazil,Plastics,4124882,6.9,89.7,0.71,-7.6,24.7,88.0,6.0,8.34,83.8,94.5,82.8,Valid,13.4,91.0,0
SUP-0098,Summit Systems 98,Mexico,Chemicals,4118808,4.6,81.2,0.34,3.4,36.7,68.7,11.2,2.19,24.0,90.6,37.6,Valid,14.2,42.2,5
SUP-0099,Delta Components 99,China,Electronics,4716691,17.6,27.6,0.61,15.5,53.1,87.1,11.5,2.58,42.3,24.6,80.0,Missing,28.6,71.5,6
SUP-0100,Apex Components 100,Vietnam,Electronics,5800000,16.6,35.0,0.78,-12.5,30.0,70.0,12.0,7.0,45.0,30.0,35.0,Expiring,78.0,90.0,4
