supplier_id,event_date,event_type,severity,description
SUP-0010,2026-06-24,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0011,2026-05-16,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0012,2026-01-29,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0012,2026-08-20,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0012,2026-05-27,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0013,2026-08-07,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0013,2026-01-30,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0014,2026-01-24,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0014,2026-07-27,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0015,2026-05-12,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0016,2026-01-15,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0016,2026-06-22,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0016,2026-01-06,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0016,2026-07-29,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0017,2026-01-19,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0018,2026-06-29,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0019,2026-08-28,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0020,2026-03-15,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0021,2026-07-16,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0021,2026-08-17,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0021,2026-08-11,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0021,2026-01-21,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0022,2026-02-15,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0022,2026-05-16,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0023,2026-07-13,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0023,2026-04-29,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0024,2026-07-30,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0024,2026-04-28,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0024,2026-03-12,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0024,2026-07-15,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0025,2026-04-18,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0026,2026-01-18,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0027,2026-04-25,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0028,2026-01-12,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0029,2026-05-19,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0029,2026-02-05,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0029,2026-03-01,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0029,2026-05-28,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0030,2026-08-13,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0030,2026-05-14,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0030,2026-03-18,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0031,2026-08-31,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0031,2026-08-22,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0031,2026-06-23,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0032,2026-01-13,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0032,2026-06-21,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0032,2026-03-23,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0032,2026-02-08,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0033,2026-07-13,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0033,2026-03-03,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0033,2026-08-08,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0034,2026-05-24,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0034,2026-05-23,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0035,2026-03-07,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0035,2026-06-15,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0036,2026-01-24,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0037,2026-04-07,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0037,2026-01-11,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0038,2026-07-05,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0039,2026-08-11,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0039,2026-09-02,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0040,2026-09-04,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0041,2026-06-28,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0042,2026-05-22,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0042,2026-04-08,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0043,2026-04-02,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0043,2026-04-03,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0043,2026-04-30,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0043,2026-05-01,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0044,2026-03-22,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0044,2026-05-25,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0044,2026-02-07,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0045,2026-08-28,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0046,2026-02-20,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0046,2026-04-08,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0046,2026-05-08,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0046,2026-08-30,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0047,2026-09-05,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0047,2026-02-13,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0047,2026-02-05,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0048,2026-06-14,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0048,2026-01-09,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0048,2026-01-13,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0048,2026-02-05,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0049,2026-02-08,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0049,2026-05-10,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0050,2026-06-08,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0050,2026-06-18,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0050,2026-01-02,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0050,2026-04-16,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0051,2026-07-04,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0052,2026-01-05,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0052,2026-06-22,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0052,2026-01-28,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0053,2026-03-03,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0054,2026-03-06,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0054,2026-07-23,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0055,2026-09-03,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0055,2026-05-25,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0055,2026-02-27,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0055,2026-07-31,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0056,2026-04-14,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0057,2026-05-02,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0057,2026-01-03,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0057,2026-05-08,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0057,2026-07-20,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0058,2026-08-18,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0058,2026-02-28,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0058,2026-08-16,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0059,2026-08-25,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0059,2026-08-25,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0059,2026-05-25,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0059,2026-08-26,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0060,2026-05-31,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0060,2026-07-30,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0060,2026-03-18,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0061,2026-05-26,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0061,2026-08-18,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0062,2026-02-05,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0062,2026-07-10,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0062,2026-01-26,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0063,2026-03-29,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0063,2026-09-02,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0063,2026-09-06,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0063,2026-06-12,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0064,2026-02-28,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0064,2026-08-29,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0064,2026-02-17,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0065,2026-03-17,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0065,2026-01-19,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0065,2026-02-09,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0065,2026-07-20,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0066,2026-04-03,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0066,2026-01-02,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0067,2026-07-14,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0067,2026-02-03,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0067,2026-04-21,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0068,2026-05-12,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0068,2026-01-07,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0068,2026-05-22,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0068,2026-06-03,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0069,2026-03-16,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0069,2026-07-19,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0069,2026-08-19,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0070,2026-02-13,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0070,2026-02-05,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0071,2026-05-07,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0071,2026-02-12,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0071,2026-04-18,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0072,2026-04-03,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0072,2026-07-04,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0072,2026-06-07,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0073,2026-02-04,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0073,2026-08-31,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0074,2026-04-08,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0074,2026-03-27,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0074,2026-09-07,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0074,2026-03-18,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0075,2026-02-21,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0075,2026-02-15,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0075,2026-03-16,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0076,2026-03-25,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0076,2026-07-29,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0076,2026-01-30,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0076,2026-06-01,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0077,2026-09-01,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0077,2026-02-23,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0078,2026-01-18,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0078,2026-05-08,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0078,2026-03-19,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0078,2026-06-18,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0079,2026-01-19,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0079,2026-05-03,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0080,2026-08-25,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0080,2026-01-10,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0080,2026-08-18,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0080,2026-06-13,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0081,2026-06-18,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0082,2026-06-06,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0082,2026-06-15,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0082,2026-09-05,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0083,2026-01-26,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0083,2026-05-11,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0083,2026-05-29,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0083,2026-04-25,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0084,2026-07-17,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0084,2026-05-09,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0084,2026-01-07,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0085,2026-04-17,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0085,2026-08-01,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0085,2026-03-21,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0085,2026-07-20,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0086,2026-03-31,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0086,2026-04-23,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0087,2026-03-18,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0087,2026-01-30,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0087,2026-06-15,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0087,2026-07-24,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0088,2026-02-14,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0088,2026-03-26,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0089,2026-07-24,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0089,2026-02-17,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0089,2026-06-18,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0089,2026-01-08,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0090,2026-04-20,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0090,2026-06-30,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0091,2026-07-12,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0091,2026-01-27,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0092,2026-02-20,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0092,2026-03-09,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0093,2026-03-22,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0093,2026-06-06,Geopolitical,MEDIUM,Medium geopolitical event recorded during supplier monitoring.
SUP-0093,2026-01-30,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0093,2026-08-05,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0094,2026-07-28,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0094,2026-06-01,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0094,2026-02-04,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0094,2026-03-03,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0095,2026-04-06,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0095,2026-04-10,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0095,2026-02-05,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0096,2026-05-05,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0096,2026-08-24,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0096,2026-02-12,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0096,2026-02-05,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0097,2026-06-08,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0097,2026-09-01,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0098,2026-02-19,Compliance,LOW,Low compliance event recorded during supplier monitoring.
SUP-0099,2026-06-17,Geopolitical,HIGH,High geopolitical event recorded during supplier monitoring.
SUP-0099,2026-06-25,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0099,2026-07-01,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0099,2026-02-12,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0100,2026-07-23,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0100,2026-07-12,Compliance,HIGH,Compliance audit identified unresolved corrective actions.
SUP-0100,2026-08-03,Delivery,HIGH,On-time delivery declined to 70% and average delay increased to 12.0 days.
SUP-0100,2026-08-27,Financial,HIGH,Cash-flow score deteriorated and debt ratio reached 78%.
SUP-0100,2026-09-05,Geopolitical,HIGH,Port disruption affects the supplier's primary export route.
SUP-0100,2026-09-07,Quality,HIGH,Quality review recorded elevated defect rate and corrective-action requirement.
